||2|902 146202|black
1000624||7|902 899 779 364 912 484 569|black
1000656||4|902 899 779 342|black
1000896||9|902 899 779 217 210 249 323 125 337|black
1001174||6|902 899 779 217 298 363|black
1002||4|902 899 779 217|black
1004||6|902 899 779 217 261 881|black
1004912||6|902 899 779 217 245 968|black
1007||4|902 899 779 364|black
1008||5|902 899 779 217 261|black
101||4|902 899 779 364|black
1010410||6|902 899 779 217 219 286|black
1012||4|902 899 779 217|black
1013||4|902 899 779 980|black
1013289||5|902 899 779 810 921|black
1013597||7|902 899 779 217 298 363 445|black
1015354||6|902 899 779 364 176 371|black
10157768||10|902 899 779 217 210 249 323 125 466 180|gray
1016487||9|902 899 779 217 210 249 323 125 466|black
10177||9|902 899 779 217 210 249 323 125 466|black
1018||5|902 899 779 217 261|black
1018457||10|902 899 779 217 210 249 323 325 348 329|gray
1019318||9|902 899 779 217 210 249 323 320 453|black
102|101,181,794,798,804,811,814,821,996,6319,6533,40495,148648,861441,967502,1064745,1077747,2806491,9229534,17838679|9999||white
1021||6|902 899 779 217 261 881|black
1021430||6|902 899 779 217 261 881|black
1022||5|902 899 779 217 876|black
1023||6|902 899 779 217 261 881|black
1024174||4|902 899 779 222|black
1026||6|902 899 779 810 921 917|black
1026018||6|902 899 779 217 245 255|black
10281543||6|902 899 779 217 219 286|black
10301||6|902 899 779 217 245 255|black
1032054||7|902 899 779 217 298 363 445|black
1033050||4|902 899 779 364|black
1035566||6|902 899 779 217 219 286|black
1036748||9|902 899 779 217 210 249 323 320 328|black
1037||6|902 899 779 217 261 898|black
1038961||10|902 899 779 217 210 249 323 125 466 945|gray
104|101,1143,628701,2438054|9999||white
1040161||4|902 899 779 364|black
1040383||8|902 899 779 217 210 249 323 325|black
1040747||6|902 899 779 217 245 618|black
1040823||9|902 899 779 217 210 249 323 125 337|black
104096||6|902 899 779 810 921 924|black
1041||8|902 899 779 217 170 691 830 986|black
1042562||5|902 899 779 217 245|black
1042628||6|902 899 779 217 245 505|black
1044265||7|902 899 779 810 921 917 897|black
104598||9|902 899 779 217 210 249 323 125 337|black
1046723||6|902 899 779 217 298 363|black
1047326||9|902 899 779 217 210 249 323 320 328|black
1048||6|902 899 779 217 170 691|black
104875||10|902 899 779 217 210 249 323 125 466 180|gray
10512137||6|902 899 779 217 170 691|black
10515016||8|902 899 779 217 170 349 388 408|black
1051568||5|902 899 779 364 176|black
1051883||6|902 899 779 217 298 363|black
10528360||4|902 899 779 810|black
1053750||7|902 899 779 217 210 249 323|black
1057375||7|902 899 779 217 298 363 445|black
1058571||6|902 899 779 364 912 484|black
105925||8|902 899 779 217 210 249 323 325|black
1060||6|902 899 779 217 261 898|black
1061||4|902 899 779 364|black
1062||6|902 899 779 364 912 484|black
1062010||6|902 899 779 217 210 249|black
1064402||6|902 899 779 364 176 371|black
1065372||6|902 899 779 217 170 168|black
1066||7|902 899 779 217 170 691 802|black
1069||5|902 899 779 810 921|black
107|101,134,385,386,520,634835,834879,2743054,13312740|9999||white
1071||6|902 899 779 364 912 484|black
1075198||5|902 899 779 364 176|black
107549398||5|902 899 779 217 261|black
1077||7|902 899 779 217 170 691 802|black
1077286||7|902 899 779 217 209 239 244|black
1081659||9|902 899 779 217 210 249 323 125 327|black
1081688||9|902 899 779 217 210 249 323 125 466|black
1081969||9|902 899 779 217 210 249 323 125 321|black
1082160||10|902 899 779 217 210 249 323 125 330 377|gray
10837||9|902 899 779 217 210 249 323 125 466|black
108463||6|902 899 779 364 176 371|black
1084916||9|902 899 779 217 210 249 323 125 466|black
1087914||5|902 899 779 810 921|black
1089||8|902 899 779 217 170 349 388 518|black
10890363||6|902 899 779 810 921 917|black
1091010||5|902 899 779 364 176|black
1091084||4|902 899 779 810|black
1095269||6|902 899 779 364 912 484|black
1095604||7|902 899 779 810 921 917 903|black
1097385||8|902 899 779 217 210 249 323 125|black
1105||6|902 899 779 217 170 691|black
11055||3|902 899 779|black
1105813||6|902 899 779 217 261 881|black
110837||10|902 899 779 217 210 249 323 125 330 424|gray
1109||7|902 899 779 217 170 691 809|black
1112021||6|902 899 779 217 298 363|black
1113762||6|902 899 779 217 298 363|black
11161064||10|902 899 779 217 210 249 323 125 466 180|gray
1116272||6|902 899 779 217 170 806|black
11196484||4|902 899 779 364|black
112|113,398234,429887,3901400,18449866,23921615|7|902 899 779 217 170 349 113|black
1120||9|902 899 779 217 210 249 323 125 466|black
1121610||6|902 899 779 364 176 371|black
1122843||5|902 899 779 364 441|black
11248089||6|902 899 779 364 176 371|black
1127354||5|902 899 779 217 334|black
1127622||6|902 899 779 217 245 505|black
1127682||7|902 899 779 810 921 917 903|black
1129337||5|902 899 779 217 209|black
113|112,349,98405,1184372,1621447,2167080,2425437,9573889,9738716,18283313|6|902 899 779 217 170 349|black
1130||6|902 899 779 217 170 806|black
1130114||9|902 899 779 217 210 249 323 125 466|black
1131275||6|902 899 779 217 219 286|black
1133558||9|902 899 779 217 210 249 323 125 937|black
1134||6|902 899 779 364 912 484|black
11347551||7|902 899 779 217 298 363 445|black
1137941||10|902 899 779 217 210 249 323 125 330 430|gray
1138250||9|902 899 779 217 210 249 323 125 937|black
1139086||7|902 899 779 810 921 917 903|black
114||5|902 899 779 217 209|black
1144746||9|902 899 779 217 210 249 323 125 937|black
1145||6|902 899 779 364 912 484|black
1145192||6|902 899 779 217 245 494|black
114726||6|902 899 779 810 921 917|black
1148||6|902 899 779 364 912 484|black
11494||9|902 899 779 217 210 249 323 125 466|black
1149520||9|902 899 779 217 210 249 323 125 466|black
1150561||9|902 899 779 217 210 249 323 125 466|black
1151||7|902 899 779 217 170 691 812|black
1152095||6|902 899 779 217 261 881|black
1155506||6|902 899 779 217 298 363|black
1156110||6|902 899 779 217 261 881|black
1158||3|902 899 779|black
1159389||6|902 899 779 364 912 484|black
116||9999||white
1160187||5|902 899 779 810 921|black
11638059||8|902 899 779 217 210 249 323 325|black
1164781||5|902 899 779 364 176|black
1165253||6|902 899 779 364 912 484|black
1168646||5|902 899 779 217 245|black
1169||7|902 899 779 217 170 349 388|black
117|307,23132932|9999||white
1171712||4|902 899 779 364|black
1175744||5|902 899 779 364 176|black
11763216||10|902 899 779 217 210 249 323 125 330 331|gray
1176415||6|902 899 779 810 921 917|black
11814302||5|902 899 779 217 245|black
1183579||9|902 899 779 217 210 249 323 125 466|black
1184372||7|902 899 779 217 170 349 113|black
1184672||9|902 899 779 217 210 249 323 125 466|black
11850636||5|902 899 779 217 219|black
1186161||6|902 899 779 217 219 286|black
1189||4|902 899 779 810|black
118946||8|902 899 779 217 210 249 323 325|black
1190||8|902 899 779 217 170 691 830 986|black
11924358||6|902 899 779 217 245 968|black
119271||4|902 899 779 364|black
1193846||6|902 899 779 217 219 286|black
1194||7|902 899 779 810 921 917 897|black
1194747||8|902 899 779 217 210 249 323 125|black
1194877||5|902 899 779 364 176|black
119724||8|902 899 779 217 210 249 323 320|black
1198589||5|902 899 779 217 170|black
1198699||6|902 899 779 217 261 881|black
1199147||6|902 899 779 217 245 494|black
119935||6|902 899 779 217 245 494|black
1201960||6|902 899 779 364 912 484|black
1203356||7|902 899 779 217 209 239 253|black
1203365||5|902 899 779 810 921|black
12034||4|902 899 779 364|black
1205537||6|902 899 779 217 215 387|black
1206625||6|902 899 779 217 298 363|black
121|4315,160253,264724,265042,329789,359849,391664,658420,667648,1252938,1253058,8355841,12380640|9999||white
1211003||4|902 899 779 222|black
12113||4|902 899 779 810|black
1211867||4|902 899 779 810|black
1212111||6|902 899 779 217 245 494|black
121303||6|902 899 779 364 176 371|black
1218||6|902 899 779 810 921 917|black
1220626||10|902 899 779 217 210 249 323 125 937 697|gray
122279||6|902 899 779 217 219 286|black
12262519||6|902 899 779 217 219 286|black
1228702||9|902 899 779 217 210 249 323 125 466|black
123|21544,29953,33708,51850,77367,77539,96454,96542,105659,125655,134676,169632,173927,184962,202744,211307,221024,232600,239912,240043,246159,259050,270511,310189,367201,375221,387719,392280,409039,542315,565579,613346,643507,648765,720508,743487,794202,862114,882824,885681,908404,930009,930889,931617,973296,1093328,1127743,1160569,1213625,1238004,1384995,1452890,1470840,1681233,1714161,1718435,1739853,1772370,1783706,1845982,1906500,1919396,1951911,1954836,1975151,2060703,2180097,2232023,2233728,2343173,2353468,2376601,2445888,2668662,2814470,2877335,3580196,4029726,4922035,4968839,5318992,5432306,5544587,5778421,5882138,6364978,11081025|9999||white
1237900||6|902 899 779 217 261 881|black
124269||7|902 899 779 810 921 917 897|black
1243206||5|902 899 779 364 912|black
12433799||8|902 899 779 217 170 691 830 986|black
1246||8|902 899 779 217 210 249 323 325|black
125|101,319,320,321,323,325,326,327,330,335,337,339,372,384,449,466,472,506,511,937,1817,8490,17853,21359,61528,206906,335386,351253,378198,500821,918831,1097385,1194747,2255890,6366331,16632545,40141820|7|902 899 779 217 210 249 323|black
1253887||6|902 899 779 364 176 371|black
125553||10|902 899 779 217 210 249 323 125 466 180|gray
1258540||6|902 899 779 364 912 484|black
1262||6|902 899 779 364 912 484|black
1267591||6|902 899 779 217 245 505|black
